Timestamp,Level meter,Flow meter,Setpoint,Fill value,Discharge value,SP,PV
"2024-06-04 12:58:52,530",18876,22826,0,,,,
"2024-06-04 12:58:52,536",,,,13685,32767,0,0
"2024-06-04 12:58:52,546",18835,22803,0,,,,
"2024-06-04 12:58:52,551",,,,13685,32767,0,0
"2024-06-04 12:58:52,561",18807,22784,0,,,,
"2024-06-04 12:58:52,567",,,,13685,32767,0,0
"2024-06-04 12:58:52,577",18775,22766,0,,,,
"2024-06-04 12:58:52,583",,,,13685,32767,0,0
"2024-06-04 12:58:52,593",18740,22747,0,,,,
"2024-06-04 12:58:52,598",,,,13685,32767,0,0
"2024-06-04 12:58:52,609",18706,22729,0,,,,
"2024-06-04 12:58:52,614",,,,13685,32767,0,0
"2024-06-04 12:58:52,624",18678,22710,0,,,,
"2024-06-04 12:58:52,630",,,,13685,32767,0,0
"2024-06-04 12:58:52,640",18651,22692,0,,,,
"2024-06-04 12:58:52,646",,,,13685,32767,0,0
"2024-06-04 12:58:52,656",18624,22673,0,,,,
"2024-06-04 12:58:52,661",,,,13685,32767,0,0
"2024-06-04 12:58:52,672",18586,22650,0,,,,
"2024-06-04 12:58:52,677",,,,13685,32767,0,0
"2024-06-04 12:58:52,687",18554,22632,0,,,,
"2024-06-04 12:58:52,693",,,,13685,32767,0,0
"2024-06-04 12:58:52,703",18523,22613,0,,,,
"2024-06-04 12:58:52,708",,,,13685,32767,0,0
"2024-06-04 12:58:52,718",18495,22595,0,,,,
"2024-06-04 12:58:52,724",,,,13685,32767,0,0
"2024-06-04 12:58:52,734",18468,22576,0,,,,
"2024-06-04 12:58:52,740",,,,13685,32767,0,0
"2024-06-04 12:58:52,750",18425,22551,0,,,,
"2024-06-04 12:58:52,756",,,,13685,32767,0,0
"2024-06-04 12:58:52,766",18393,22533,0,,,,
"2024-06-04 12:58:52,771",,,,13685,32767,0,0
"2024-06-04 12:58:52,781",18355,22510,0,,,,
"2024-06-04 12:58:52,787",,,,13685,32767,0,0
"2024-06-04 12:58:52,797",18325,22491,0,,,,
"2024-06-04 12:58:52,803",,,,13685,32767,0,0
"2024-06-04 12:58:52,813",18294,22473,0,,,,
"2024-06-04 12:58:52,818",,,,13685,32767,0,0
"2024-06-04 12:58:52,828",18264,22455,0,,,,
"2024-06-04 12:58:52,834",,,,13685,32767,0,0
